week,day,hour,avg_queue_time,row_count,prev_avg1,prev_week_avg
3,1,9,2.41527,5,3.27585,0
3,1,10,13.1106,16,2.41527,3.27089
3,1,11,3.98581,5,13.1106,1.35313
3,1,12,5.36485,7,3.98581,3.48551
3,1,13,3.07337,8,5.36485,1.63836
3,1,14,0,2,3.07337,1.49881
3,1,15,0,3,0,4.17021
3,1,16,5.85274,7,0,0
3,1,17,7.82692,12,5.85274,5.65105
3,1,18,0,2,7.82692,0.0816803
3,1,19,0.912375,3,0,2.49427
3,1,20,4.46413,5,0.912375,0.732589
3,1,21,3.73054,5,4.46413,0
3,2,7,1.48594,4,1.48594,1.52137
3,2,8,5.25542,7,1.48594,1.338
3,2,9,6.99474,10,5.25542,1.02277
3,2,10,4.8761,12,6.99474,7.46162
3,2,11,5.77134,12,4.8761,6.48472
3,2,12,1.42636,7,5.77134,7.61445
3,2,13,0.182727,7,1.42636,13.9329
3,2,14,28.5498,15,0.182727,6.26757
3,2,15,4.48119,8,28.5498,8.74897
3,2,16,6.51382,13,4.48119,5.10819
3,2,17,2.70843,6,6.51382,22.1842
3,2,18,2.14346,5,2.70843,13.8755
3,2,19,4.99465,10,2.14346,1.61833
3,2,20,0,4,4.99465,1.4453
3,2,21,0,4,0,0.158703
3,2,22,0,1,0,0
3,3,7,2.96754,6,2.96754,18.5205
3,3,8,1.50853,4,2.96754,0.614518
3,3,9,4.05206,9,1.50853,5.63239
3,3,10,13.0917,18,4.05206,12.1645
3,3,11,10.083,13,13.0917,7.0127
3,3,12,23.2151,18,10.083,20.73
3,3,13,13.9908,16,23.2151,10.5533
3,3,14,14.9179,16,13.9908,18.5285
3,3,15,4.58325,6,14.9179,2.98253
3,3,16,16.6023,17,4.58325,6.65222
3,3,17,15.5578,22,16.6023,26.8737
3,3,18,1.67166,5,15.5578,6.00682
3,3,19,1.27489,6,1.67166,1.35961
3,3,20,4.01815,6,1.27489,0.4482
3,3,21,1.1181,7,4.01815,0.489409
3,3,22,2.76736,1,1.1181,11.6387
3,4,7,11.1893,16,11.1893,10.2168
3,4,8,17.6171,14,11.1893,5.02495
3,4,9,4.78259,11,17.6171,8.68046
3,4,10,27.0445,37,4.78259,29.4303
3,4,11,8.75867,18,27.0445,23.9818
3,4,12,13.1632,18,8.75867,19.4625
3,4,13,20.6368,24,13.1632,16.5374
3,4,14,22.5752,22,20.6368,15.147
3,4,15,26.6211,21,22.5752,28.6942
3,4,16,4.87374,11,26.6211,9.47077
3,4,17,30.7548,29,4.87374,34.359
3,4,18,1.98412,8,30.7548,11.6564
3,4,19,2.13029,9,1.98412,4.33723
3,4,20,5.26239,13,2.13029,1.22429
3,4,21,20.381,12,5.26239,3.06687
3,4,22,0.631483,1,20.381,5.90732
3,5,7,15.2365,13,15.2365,11.2263
3,5,8,24.9197,26,15.2365,11.2354
3,5,9,25.7276,27,24.9197,10.6559
3,5,10,23.4455,52,25.7276,35.9475
3,5,11,16.7961,37,23.4455,33.3393
3,5,12,30.0664,33,16.7961,19.964
3,5,13,35.1061,29,30.0664,32.1613
3,5,14,19.2798,23,35.1061,21.9149
3,5,15,25.2216,37,19.2798,19.6708
3,5,16,27.2994,35,25.2216,28.2616
3,5,17,35.3072,51,27.2994,30.5234
3,5,18,10.857,23,35.3072,15.0674
3,5,19,21.7268,20,10.857,1.19157
3,5,20,19.2794,20,21.7268,22.9411
3,5,21,23.8719,26,19.2794,23.2982
3,5,22,5.93139,2,23.8719,7.43011
4,1,7,0,3,0,0
4,1,8,0,4,0,0
4,1,9,0,2,0,0
4,1,10,3.27089,6,0,3.27089
4,1,11,1.35313,5,3.27089,1.35313
4,1,12,3.48551,5,1.35313,3.48551
4,1,13,1.63836,4,3.48551,1.63836
4,1,14,1.49881,5,1.63836,1.49881
4,1,15,4.17021,5,1.49881,4.17021
4,1,16,0,3,4.17021,0
4,1,17,5.65105,7,0,5.65105
4,1,18,0.0816803,3,5.65105,0.0816803
4,1,19,2.49427,5,0.0816803,2.49427
4,1,20,0.732589,5,2.49427,0.732589
4,1,21,0,1,0.732589,0
4,2,7,1.52137,5,1.52137,1.52137
4,2,8,1.338,6,1.52137,1.338
4,2,9,1.02277,9,1.338,1.02277
4,2,10,7.46162,13,1.02277,7.46162
4,2,11,6.48472,8,7.46162,6.48472
4,2,12,7.61445,13,6.48472,7.61445
4,2,13,13.9329,14,7.61445,13.9329
4,2,14,6.26757,9,13.9329,6.26757
4,2,15,8.74897,14,6.26757,8.74897
4,2,16,5.10819,9,8.74897,5.10819
4,2,17,22.1842,23,5.10819,22.1842
4,2,18,13.8755,9,22.1842,13.8755
4,2,19,1.61833,3,13.8755,1.61833
4,2,20,1.4453,5,1.61833,1.4453
4,2,21,0.158703,6,1.4453,0.158703
4,2,22,0,1,0.158703,0
4,3,7,18.5205,13,18.5205,18.5205
4,3,8,0.614518,3,18.5205,0.614518
4,3,9,5.63239,18,0.614518,5.63239
4,3,10,12.1645,16,5.63239,12.1645
4,3,11,7.0127,15,12.1645,7.0127
4,3,12,20.73,18,7.0127,20.73
4,3,13,10.5533,11,20.73,10.5533
4,3,14,18.5285,12,10.5533,18.5285
4,3,15,2.98253,8,18.5285,2.98253
4,3,16,6.65222,13,2.98253,6.65222
4,3,17,26.8737,19,6.65222,26.8737
4,3,18,6.00682,9,26.8737,6.00682
4,3,19,1.35961,5,6.00682,1.35961
4,3,20,0.4482,5,1.35961,0.4482
4,3,21,0.489409,9,0.4482,0.489409
4,3,22,11.6387,3,0.489409,11.6387
4,4,7,10.2168,9,10.2168,10.2168
4,4,8,5.02495,12,10.2168,5.02495
4,4,9,8.68046,12,5.02495,8.68046
4,4,10,29.4303,32,8.68046,29.4303
4,4,11,23.9818,28,29.4303,23.9818
4,4,12,19.4625,26,23.9818,19.4625
4,4,13,16.5374,26,19.4625,16.5374
